id,latitude,longitude,name,est_bike_slots,park_poi_counts,bar_poi_counts,food_poi_counts,grocer_poi_counts,yelp_counts
45dbb0009135e465f49f054517cbe74d,43.259125842121065,-79.87721174955368,hess at king,12,8,30,30,24,50
cd881edad122a75c57d94b381cdfc6c0,43.26928827622911,-79.87132698297499,bayfront park,31,5,11,30,5,50
024a3edf037cb411d16acc08a7fcb954,43.26785864558976,-79.8679232597351,bay at strachan,25,6,17,30,12,50
b933317ff2861c45aacbea4cbf4b541f,43.26319844157448,-79.87180307507515,bay at mulberry,14,8,30,30,20,50
20dc109608315db09a8332d6e6940c75,43.2561324863605,-79.8744987564414,city hall,16,8,30,30,24,50
a386509756e2c2e15483eaaf344fb412,43.2538302267771,-79.8753935613187,bay at bold,11,9,30,30,22,50
3527ca2c4e22a011c0615126afce23d5,43.2496354495324,-79.8720555723035,james s at charlton,10,15,30,30,8,50
337f37f6d8b9db34372c0cfe1a7d2595,43.26456372689135,-79.8777937889099,oxford at york,11,4,30,30,14,50
8bd4d92cf10d53a1b69805e875ca2001,43.2618861338306,-79.877606006297,queen at peter,12,7,30,30,23,50
95c24984959b304fdb8bb3ab251810e9,43.257877862291,-79.8561337635964,west at cannon,13,10,30,30,11,50
2a91db522d9c3f209772a8f35b8ee4e1,43.26271404114188,-79.91580605506897,forsyth at sterling,34,0,6,30,1,42
1846562b60f9d9469c055fed1d84898e,43.25112644429895,-79.82740849256516,gage at cannon - eri11,9,2,14,30,7,46
630c0983a0b38edfc8772e7b45c8dab1,43.2540651616154,-79.8819466027797,h.a.a.a. park,10,8,30,30,10,50
f5019394e945492c7644ad38a0db33ce,43.255383107655966,-79.87889617681503,hunter at hess,16,9,30,30,19,50
39c08c3439e8b49ff26c7d7d9dfe6ed1,43.24943274108067,-79.8388883471489,dunsmure at sherman - eri10,9,4,12,30,1,34
18ed716ef5002294aaa2ff40b3fd8921,43.24634382646498,-79.82685998082161,king at dunsmure - eri09,9,2,10,30,7,42
91fa730ae5a6c44945e897d27119a5f2,43.2628018805713,-79.8827367298478,locke at napier,12,6,29,30,7,50
5abbf86662e318c18e2e8eb448f2e5c8,43.2659146108256,-79.8819495909127,york at inchbury,12,4,21,30,2,50
17dcbb977faa236652d5f039ee54eab5,43.2488085584277,-79.8836993988543,aberdeen at queen,13,12,4,19,5,30
dff4dd3a682e5fd806a7004a34f166e4,43.26240933566922,-79.88798081874847,king at dundurn,10,5,24,30,7,50
34e98e408d0478448d774f24fbb9105a,43.25966301112219,-79.8892092704773,main at dundurn,11,6,25,30,8,50
d6c7c14e47cd30a743d379e7e544f2f2,43.2548127612063,-79.8909067737901,dundurn st s,12,8,5,30,8,40
5fd1db2bc0ce16dcc7c983c80fb8ff34,43.26246012002058,-79.92224670946598,mcmaster mary keyes,14,0,5,30,1,31
d87ad3e6e7e39c8680e5da273289126a,43.26053126154136,-79.91824820637703,mcmaster health sciences,30,0,6,30,0,38
d933c4e54010753b1c85727ba6e203a2,43.2599690032886,-79.922358671032,mcmaster arthur bourns,13,1,6,30,2,32
4bc9ff88b1ceaa64a384fa9731ae8d01,43.258038792898375,-79.91978779435158,mcmaster emerson,19,1,7,30,1,31
dd521d8e002ed058f01ea5c1d6a899d7,43.2662112220324,-79.8993094512,longwood at edgevale,14,3,1,30,3,34
ef31eb281843d11149a891269f438331,43.2630174571678,-79.9009418422827,longwood at king,10,2,3,30,4,32
4f4fb284d16149957dda0b5ea3fb8a61,43.2460802627748,-79.90823779724,chedoke stairs,11,1,0,0,0,0
bd96d779c3e3b836ca90e548eee888a1,43.25656885270854,-79.9011692404747,mcmaster innovation park,17,1,4,30,5,35
7c7c2a29076e490b95bc735fbcaed460,43.2621672804245,-79.8964982026467,macklin at king,14,5,1,30,4,45
99ec29f3c8fe3433ed45611988e8ca4d,43.251458458949,-79.89265590906143,dundurn at aberdeen,24,6,4,28,6,25
1fcd421afe5b8dcde4553554201a7ed2,43.2465214141618,-79.8947787566411,dundurn stairs,11,3,1,7,1,12
6690c346b37fcd1b741875064926638a,43.26547419149645,-79.94765996932983,cootes drive dundas,1,2,6,30,7,31
8601b4c3dfc470daf8d5e63b28b20e7f,43.2729912871819,-79.8945270389426,princess point,13,1,0,2,0,0
ec51bdbd1936f333b917f2154087c814,43.25650634283747,-79.88345324993132,pearl street bridge,11,9,30,30,8,50
8d388d807755c747375a2b7c4b18eada,43.2546745875963,-79.9208028150996,rail trail at emerson,17,1,7,30,2,29
da7a560ed681555928a1d108bc3caab8,43.26201477888108,-79.90508794784544,westdale village,18,0,3,30,3,30
6f17e8701f57d4460774045411bcec7e,43.2627159943772,-79.90359663963316,westdale library,9,1,3,30,3,30
77030d658ee4dd5f9ad7a741fe3cdd79,43.2521423210113,-79.9222158171462,emerson at whitney,14,1,4,26,2,24
133e6840636162eef8f7c0e877071607,43.2622271626907,-79.9133658840373,sterling at whitton,11,0,6,30,1,40
3736ced2decabcac22ddf364fe1d5407,43.26202552179778,-79.91026729345322,sterling at haddon,13,0,6,30,3,43
a7f3ee3b05806c3e979202c0590d5179,43.2599031676959,-79.9264810904732,sanders at hollywood,16,1,5,30,3,31
df7262645c8624531b1a34cf39c89771,43.2605367847852,-79.9092948353051,king at cline,13,0,6,30,3,43
b23eb87ed716fb2e4f127b9b893f29bc,43.2535916384655,-79.9166152756283,rail trail at stroud,13,1,5,29,0,41
2b42c682f103d65f546555b599e8cf52,43.2585671813327,-79.90785866975784,main at columbia college,10,0,5,30,3,40
3a13a5c31c7483e54a8c71af5a9b0668,43.26595632543361,-79.95375394821166,king street dundas,1,4,6,30,3,29
dd00194c26112252a0123c2889671ae0,43.25343546641674,-79.86948698759079,hunter go centre,15,14,30,30,19,50
e3f950c764985f5663487f33c961e47d,43.2515957745917,-79.8749090863127,park at robinson,8,12,30,30,17,50
4f8e0eeb6b9c0a79a192d73ec6cfc98f,43.25802547698811,-79.91383865476678,main at dalewood,9,0,7,30,1,41
ad7d9eea49ccec4ac431465d5b6bc8a4,43.254529435061336,-79.86718028783798,john at main,15,15,30,30,21,50
8c7e7edf96c59d7ec1d5abb24432e779,43.25161474646046,-79.83134329318999,stadium,31,4,9,30,3,34
43cf0e9fa1672920ce236fc613eee2e3,43.2572539435115,-79.9342255404988,osler at main,10,1,3,30,9,26
cda78e5631d14cf607d59cc92cc6d424,43.25205234935895,-79.93979036808014,main at whitney,10,2,3,23,9,20
972059c18777939b2148f40fab59bb18,43.2595496051254,-79.9426434441838,osler at grant,12,1,3,30,7,25
46899650a9b5b0cfe2542ac52e9b7bec,43.26044140942891,-79.83437284827232,270 sherman,9,5,11,23,3,16
